n1	n2	label	setting	compound_text
navy	admiral	owner_emp_use	full	modifier: navy ; head: admiral
navy	admiral	owner_emp_use	mask_modifier	modifier: [MASK] ; head: admiral
navy	admiral	owner_emp_use	mask_head	modifier: navy ; head: [MASK]
army	commander	owner_emp_use	full	modifier: army ; head: commander
army	commander	owner_emp_use	mask_modifier	modifier: [MASK] ; head: commander
army	commander	owner_emp_use	mask_head	modifier: army ; head: [MASK]
company	commander	owner_emp_use	full	modifier: company ; head: commander
company	commander	owner_emp_use	mask_modifier	modifier: [MASK] ; head: commander
company	commander	owner_emp_use	mask_head	modifier: company ; head: [MASK]
navy	commander	owner_emp_use	full	modifier: navy ; head: commander
navy	commander	owner_emp_use	mask_modifier	modifier: [MASK] ; head: commander
navy	commander	owner_emp_use	mask_head	modifier: navy ; head: [MASK]
police	commander	owner_emp_use	full	modifier: police ; head: commander
police	commander	owner_emp_use	mask_modifier	modifier: [MASK] ; head: commander
police	commander	owner_emp_use	mask_head	modifier: police ; head: [MASK]
city	commissioner	owner_emp_use	full	modifier: city ; head: commissioner
city	commissioner	owner_emp_use	mask_modifier	modifier: [MASK] ; head: commissioner
city	commissioner	owner_emp_use	mask_head	modifier: city ; head: [MASK]
police	commissioner	owner_emp_use	full	modifier: police ; head: commissioner
police	commissioner	owner_emp_use	mask_modifier	modifier: [MASK] ; head: commissioner
police	commissioner	owner_emp_use	mask_head	modifier: police ; head: [MASK]
child	advocate	owner_emp_use	full	modifier: child ; head: advocate
child	advocate	owner_emp_use	mask_modifier	modifier: [MASK] ; head: advocate
child	advocate	owner_emp_use	mask_head	modifier: child ; head: [MASK]
government	agency	owner_emp_use	full	modifier: government ; head: agency
government	agency	owner_emp_use	mask_modifier	modifier: [MASK] ; head: agency
government	agency	owner_emp_use	mask_head	modifier: government ; head: [MASK]
brokerage	analyst	owner_emp_use	full	modifier: brokerage ; head: analyst
brokerage	analyst	owner_emp_use	mask_modifier	modifier: [MASK] ; head: analyst
brokerage	analyst	owner_emp_use	mask_head	modifier: brokerage ; head: [MASK]
city	analyst	owner_emp_use	full	modifier: city ; head: analyst
city	analyst	owner_emp_use	mask_modifier	modifier: [MASK] ; head: analyst
city	analyst	owner_emp_use	mask_head	modifier: city ; head: [MASK]
government	analyst	owner_emp_use	full	modifier: government ; head: analyst
government	analyst	owner_emp_use	mask_modifier	modifier: [MASK] ; head: analyst
government	analyst	owner_emp_use	mask_head	modifier: government ; head: [MASK]
government	army	owner_emp_use	full	modifier: government ; head: army
government	army	owner_emp_use	mask_modifier	modifier: [MASK] ; head: army
government	army	owner_emp_use	mask_head	modifier: government ; head: [MASK]
company	auditor	owner_emp_use	full	modifier: company ; head: auditor
company	auditor	owner_emp_use	mask_modifier	modifier: [MASK] ; head: auditor
company	auditor	owner_emp_use	mask_head	modifier: company ; head: [MASK]
government	auditor	owner_emp_use	full	modifier: government ; head: auditor
government	auditor	owner_emp_use	mask_modifier	modifier: [MASK] ; head: auditor
government	auditor	owner_emp_use	mask_head	modifier: government ; head: [MASK]
army	battalion	owner_emp_use	full	modifier: army ; head: battalion
army	battalion	owner_emp_use	mask_modifier	modifier: [MASK] ; head: battalion
army	battalion	owner_emp_use	mask_head	modifier: army ; head: [MASK]
government	body	owner_emp_use	full	modifier: government ; head: body
government	body	owner_emp_use	mask_modifier	modifier: [MASK] ; head: body
government	body	owner_emp_use	mask_head	modifier: government ; head: [MASK]
army	captain	owner_emp_use	full	modifier: army ; head: captain
army	captain	owner_emp_use	mask_modifier	modifier: [MASK] ; head: captain
army	captain	owner_emp_use	mask_head	modifier: army ; head: [MASK]
navy	captain	owner_emp_use	full	modifier: navy ; head: captain
navy	captain	owner_emp_use	mask_modifier	modifier: [MASK] ; head: captain
navy	captain	owner_emp_use	mask_head	modifier: navy ; head: [MASK]
team	captain	owner_emp_use	full	modifier: team ; head: captain
team	captain	owner_emp_use	mask_modifier	modifier: [MASK] ; head: captain
team	captain	owner_emp_use	mask_head	modifier: team ; head: [MASK]
city	clerk	owner_emp_use	full	modifier: city ; head: clerk
city	clerk	owner_emp_use	mask_modifier	modifier: [MASK] ; head: clerk
city	clerk	owner_emp_use	mask_head	modifier: city ; head: [MASK]
circus	clown	owner_emp_use	full	modifier: circus ; head: clown
circus	clown	owner_emp_use	mask_modifier	modifier: [MASK] ; head: clown
circus	clown	owner_emp_use	mask_head	modifier: circus ; head: [MASK]
government	commission	owner_emp_use	full	modifier: government ; head: commission
government	commission	owner_emp_use	mask_modifier	modifier: [MASK] ; head: commission
government	commission	owner_emp_use	mask_head	modifier: government ; head: [MASK]
city	committee	owner_emp_use	full	modifier: city ; head: committee
city	committee	owner_emp_use	mask_modifier	modifier: [MASK] ; head: committee
city	committee	owner_emp_use	mask_head	modifier: city ; head: [MASK]
government	committee	owner_emp_use	full	modifier: government ; head: committee
government	committee	owner_emp_use	mask_modifier	modifier: [MASK] ; head: committee
government	committee	owner_emp_use	mask_head	modifier: government ; head: [MASK]
parliament	committee	owner_emp_use	full	modifier: parliament ; head: committee
parliament	committee	owner_emp_use	mask_modifier	modifier: [MASK] ; head: committee
parliament	committee	owner_emp_use	mask_head	modifier: parliament ; head: [MASK]
village	committee	owner_emp_use	full	modifier: village ; head: committee
village	committee	owner_emp_use	mask_modifier	modifier: [MASK] ; head: committee
village	committee	owner_emp_use	mask_head	modifier: village ; head: [MASK]
police	constable	owner_emp_use	full	modifier: police ; head: constable
police	constable	owner_emp_use	mask_modifier	modifier: [MASK] ; head: constable
police	constable	owner_emp_use	mask_head	modifier: police ; head: [MASK]
city	controller	owner_emp_use	full	modifier: city ; head: controller
city	controller	owner_emp_use	mask_modifier	modifier: [MASK] ; head: controller
city	controller	owner_emp_use	mask_head	modifier: city ; head: [MASK]
government	delegation	owner_emp_use	full	modifier: government ; head: delegation
government	delegation	owner_emp_use	mask_modifier	modifier: [MASK] ; head: delegation
government	delegation	owner_emp_use	mask_head	modifier: government ; head: [MASK]
military	delegation	owner_emp_use	full	modifier: military ; head: delegation
military	delegation	owner_emp_use	mask_modifier	modifier: [MASK] ; head: delegation
military	delegation	owner_emp_use	mask_head	modifier: military ; head: [MASK]
parliament	delegation	owner_emp_use	full	modifier: parliament ; head: delegation
parliament	delegation	owner_emp_use	mask_modifier	modifier: [MASK] ; head: delegation
parliament	delegation	owner_emp_use	mask_head	modifier: parliament ; head: [MASK]
police	dispatcher	owner_emp_use	full	modifier: police ; head: dispatcher
police	dispatcher	owner_emp_use	mask_modifier	modifier: [MASK] ; head: dispatcher
police	dispatcher	owner_emp_use	mask_head	modifier: police ; head: [MASK]
navy	diver	owner_emp_use	full	modifier: navy ; head: diver
navy	diver	owner_emp_use	mask_modifier	modifier: [MASK] ; head: diver
navy	diver	owner_emp_use	mask_head	modifier: navy ; head: [MASK]
city	economist	owner_emp_use	full	modifier: city ; head: economist
city	economist	owner_emp_use	mask_modifier	modifier: [MASK] ; head: economist
city	economist	owner_emp_use	mask_head	modifier: city ; head: [MASK]
government	economist	owner_emp_use	full	modifier: government ; head: economist
government	economist	owner_emp_use	mask_modifier	modifier: [MASK] ; head: economist
government	economist	owner_emp_use	mask_head	modifier: government ; head: [MASK]
government	functionary	owner_emp_use	full	modifier: government ; head: functionary
government	functionary	owner_emp_use	mask_modifier	modifier: [MASK] ; head: functionary
government	functionary	owner_emp_use	mask_head	modifier: government ; head: [MASK]
village	guard	owner_emp_use	full	modifier: village ; head: guard
village	guard	owner_emp_use	mask_modifier	modifier: [MASK] ; head: guard
village	guard	owner_emp_use	mask_head	modifier: village ; head: [MASK]
government	hostage	owner_emp_use	full	modifier: government ; head: hostage
government	hostage	owner_emp_use	mask_modifier	modifier: [MASK] ; head: hostage
government	hostage	owner_emp_use	mask_head	modifier: government ; head: [MASK]
government	informant	owner_emp_use	full	modifier: government ; head: informant
government	informant	owner_emp_use	mask_modifier	modifier: [MASK] ; head: informant
government	informant	owner_emp_use	mask_head	modifier: government ; head: [MASK]
police	informant	owner_emp_use	full	modifier: police ; head: informant
police	informant	owner_emp_use	mask_modifier	modifier: [MASK] ; head: informant
police	informant	owner_emp_use	mask_head	modifier: police ; head: [MASK]
company	insider	owner_emp_use	full	modifier: company ; head: insider
company	insider	owner_emp_use	mask_modifier	modifier: [MASK] ; head: insider
company	insider	owner_emp_use	mask_head	modifier: company ; head: [MASK]
city	inspector	owner_emp_use	full	modifier: city ; head: inspector
city	inspector	owner_emp_use	mask_modifier	modifier: [MASK] ; head: inspector
city	inspector	owner_emp_use	mask_head	modifier: city ; head: [MASK]
government	inspector	owner_emp_use	full	modifier: government ; head: inspector
government	inspector	owner_emp_use	mask_modifier	modifier: [MASK] ; head: inspector
government	inspector	owner_emp_use	mask_head	modifier: government ; head: [MASK]
police	inspector	owner_emp_use	full	modifier: police ; head: inspector
police	inspector	owner_emp_use	mask_modifier	modifier: [MASK] ; head: inspector
police	inspector	owner_emp_use	mask_head	modifier: police ; head: [MASK]
army	investigator	owner_emp_use	full	modifier: army ; head: investigator
army	investigator	owner_emp_use	mask_modifier	modifier: [MASK] ; head: investigator
army	investigator	owner_emp_use	mask_head	modifier: army ; head: [MASK]
government	investigator	owner_emp_use	full	modifier: government ; head: investigator
government	investigator	owner_emp_use	mask_modifier	modifier: [MASK] ; head: investigator
government	investigator	owner_emp_use	mask_head	modifier: government ; head: [MASK]
navy	investigator	owner_emp_use	full	modifier: navy ; head: investigator
navy	investigator	owner_emp_use	mask_modifier	modifier: [MASK] ; head: investigator
navy	investigator	owner_emp_use	mask_head	modifier: navy ; head: [MASK]
police	investigator	owner_emp_use	full	modifier: police ; head: investigator
police	investigator	owner_emp_use	mask_modifier	modifier: [MASK] ; head: investigator
police	investigator	owner_emp_use	mask_head	modifier: police ; head: [MASK]
administration	lawyer	owner_emp_use	full	modifier: administration ; head: lawyer
administration	lawyer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: lawyer
administration	lawyer	owner_emp_use	mask_head	modifier: administration ; head: [MASK]
city	lawyer	owner_emp_use	full	modifier: city ; head: lawyer
city	lawyer	owner_emp_use	mask_modifier	modifier: [MASK] ; head: lawyer
