input_text,target_text
compound: navy admiral,owner_emp_use
compound: army commander,owner_emp_use
compound: company commander,owner_emp_use
compound: navy commander,owner_emp_use
compound: police commander,owner_emp_use
compound: city commissioner,owner_emp_use
compound: police commissioner,owner_emp_use
compound: child advocate,owner_emp_use
compound: government agency,owner_emp_use
compound: brokerage analyst,owner_emp_use
compound: city analyst,owner_emp_use
compound: government analyst,owner_emp_use
compound: government army,owner_emp_use
compound: company auditor,owner_emp_use
compound: government auditor,owner_emp_use
compound: army battalion,owner_emp_use
compound: government body,owner_emp_use
compound: army captain,owner_emp_use
compound: navy captain,owner_emp_use
compound: team captain,owner_emp_use
compound: city clerk,owner_emp_use
compound: circus clown,owner_emp_use
compound: government commission,owner_emp_use
compound: city committee,owner_emp_use
compound: government committee,owner_emp_use
compound: parliament committee,owner_emp_use
compound: village committee,owner_emp_use
compound: police constable,owner_emp_use
compound: city controller,owner_emp_use
compound: government delegation,owner_emp_use
compound: military delegation,owner_emp_use
compound: parliament delegation,owner_emp_use
compound: police dispatcher,owner_emp_use
compound: navy diver,owner_emp_use
compound: city economist,owner_emp_use
compound: government economist,owner_emp_use
compound: government functionary,owner_emp_use
compound: village guard,owner_emp_use
compound: government hostage,owner_emp_use
compound: government informant,owner_emp_use
compound: police informant,owner_emp_use
compound: company insider,owner_emp_use
compound: city inspector,owner_emp_use
compound: government inspector,owner_emp_use
compound: police inspector,owner_emp_use
compound: army investigator,owner_emp_use
compound: government investigator,owner_emp_use
compound: navy investigator,owner_emp_use
compound: police investigator,owner_emp_use
compound: administration lawyer,owner_emp_use
compound: city lawyer,owner_emp_use
compound: company lawyer,owner_emp_use
compound: defence lawyer,owner_emp_use
compound: government lawyer,owner_emp_use
compound: army lieutenant,owner_emp_use
compound: housing lobby,owner_emp_use
compound: government ministry,owner_emp_use
compound: army officer,owner_emp_use
compound: city officer,owner_emp_use
compound: company officer,owner_emp_use
compound: government officer,owner_emp_use
compound: navy officer,owner_emp_use
compound: police officer,owner_emp_use
compound: press officer,owner_emp_use
compound: administration official,owner_emp_use
compound: agency official,owner_emp_use
compound: airport official,owner_emp_use
compound: army official,owner_emp_use
compound: brokerage official,owner_emp_use
compound: city official,owner_emp_use
compound: commission official,owner_emp_use
compound: committee official,owner_emp_use
compound: company official,owner_emp_use
compound: foundation official,owner_emp_use
compound: government official,owner_emp_use
compound: hotel official,owner_emp_use
compound: labour official,owner_emp_use
compound: military official,owner_emp_use
compound: ministry official,owner_emp_use
compound: museum official,owner_emp_use
compound: navy official,owner_emp_use
compound: opposition official,owner_emp_use
compound: party official,owner_emp_use
compound: police official,owner_emp_use
compound: press official,owner_emp_use
compound: prison official,owner_emp_use
compound: railroad official,owner_emp_use
compound: team official,owner_emp_use
compound: village official,owner_emp_use
compound: zoo official,owner_emp_use
compound: employer organisation,owner_emp_use
compound: government panel,owner_emp_use
compound: army patrol,owner_emp_use
compound: police patrol,owner_emp_use
compound: team physician,owner_emp_use
compound: city police,owner_emp_use
compound: government regulator,owner_emp_use
compound: company representative,owner_emp_use
compound: government representative,owner_emp_use
compound: media representative,owner_emp_use
compound: party representative,owner_emp_use
compound: government researcher,owner_emp_use
compound: government scientist,owner_emp_use
compound: project scientist,owner_emp_use
compound: city solicitor,owner_emp_use
compound: administration source,owner_emp_use
compound: airport source,owner_emp_use
compound: army source,owner_emp_use
compound: committee source,owner_emp_use
compound: company source,owner_emp_use
compound: government source,owner_emp_use
compound: media source,owner_emp_use
compound: military source,owner_emp_use
compound: ministry source,owner_emp_use
compound: navy source,owner_emp_use
compound: opposition source,owner_emp_use
compound: party source,owner_emp_use
compound: police source,owner_emp_use
compound: team source,owner_emp_use
compound: affairs spokesman,owner_emp_use
